frame,time_s,in_count,out_count
0,0.0,0,0
1,0.07,0,0
2,0.13,0,0
3,0.2,0,0
4,0.27,0,0
5,0.33,0,0
6,0.4,0,0
7,0.47,0,0
8,0.53,0,0
9,0.6,0,0
10,0.67,0,0
11,0.73,0,0
12,0.8,0,0
13,0.87,0,0
14,0.93,0,0
15,1.0,0,0
16,1.07,0,0
17,1.13,0,0
18,1.2,0,0
19,1.27,0,0
20,1.33,0,0
21,1.4,0,0
22,1.47,0,0
23,1.53,0,0
24,1.6,0,0
25,1.67,0,0
26,1.73,0,0
27,1.8,0,0
28,1.87,0,0
29,1.93,0,0
30,2.0,0,0
31,2.07,0,0
32,2.13,0,0
33,2.2,0,0
34,2.27,0,0
35,2.33,0,0
36,2.4,0,0
37,2.47,0,0
38,2.53,0,0
39,2.6,0,0
40,2.67,0,0
41,2.73,0,0
42,2.8,0,0
43,2.87,0,0
44,2.93,0,0
45,3.0,0,0
46,3.07,0,0
47,3.13,0,0
48,3.2,0,0
49,3.27,0,0
50,3.33,0,0
51,3.4,0,0
52,3.47,0,0
53,3.53,0,0
54,3.6,0,0
55,3.67,0,0
56,3.73,0,0
57,3.8,0,0
58,3.87,0,0
59,3.93,0,0
60,4.0,0,0
61,4.07,0,0
62,4.13,0,0
63,4.2,0,0
64,4.27,0,0
65,4.33,0,0
66,4.4,0,0
67,4.47,0,0
68,4.53,0,0
69,4.6,0,0
70,4.67,0,0
71,4.73,0,0
72,4.8,0,0
73,4.87,0,0
74,4.93,0,0
75,5.0,0,0
76,5.07,0,0
77,5.13,0,0
78,5.2,0,0
79,5.27,0,0
80,5.33,0,0
81,5.4,0,0
82,5.47,0,0
83,5.53,0,0
84,5.6,0,0
85,5.67,0,0
86,5.73,0,0
87,5.8,0,0
88,5.87,0,0
89,5.93,0,0
90,6.0,0,0
91,6.07,0,0
92,6.13,0,0
93,6.2,0,0
94,6.27,0,0
95,6.33,0,0
96,6.4,0,0
97,6.47,0,0
98,6.53,0,0
99,6.6,0,0
100,6.67,0,0
101,6.73,0,0
102,6.8,0,0
103,6.87,0,0
104,6.93,0,0
105,7.0,0,0
106,7.07,0,0
107,7.13,0,0
108,7.2,0,0
109,7.27,0,0
110,7.33,0,0
111,7.4,0,0
112,7.47,0,0
113,7.53,0,0
114,7.6,0,0
115,7.67,0,0
116,7.73,0,0
117,7.8,0,0
118,7.87,0,0
119,7.93,0,0
120,8.0,0,0
121,8.07,0,0
122,8.13,0,0
123,8.2,0,0
124,8.27,0,0
125,8.33,0,0
126,8.4,0,0
127,8.47,0,0
128,8.53,0,0
129,8.6,0,0
130,8.67,0,0
131,8.73,0,0
132,8.8,0,0
133,8.87,0,0
134,8.93,0,0
135,9.0,0,0
136,9.07,0,0
137,9.13,0,0
138,9.2,0,0
139,9.27,0,0
140,9.33,0,0
141,9.4,0,0
142,9.47,0,0
143,9.53,0,0
144,9.6,0,0
145,9.67,0,0
146,9.73,0,0
147,9.8,0,0
148,9.87,0,0
149,9.93,0,0
150,10.0,0,0
151,10.07,0,0
152,10.13,0,0
153,10.2,0,0
